cohort,seed,valence_name,zone3,n,body_state,body_u,pred_UP_minus_DOWN,true_UP_minus_DOWN,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
full,15,bottom,BR,123.0,0.3572320224550681,-0.607279897497393,0.005947640877429,0.0014747108466882,0.1080511700573975,0.0971229676389076,0.0487439491922353,0.0378157466468287
full,15,mid,ML,75.0,0.5594043103853862,0.2753688957999682,0.011371339559555,0.0023629766946247,0.1165754113594691,0.1305690500544145,0.0185446738700071,0.0138707924385865
full,15,mid,MM,200.0,0.5068629388511181,0.0321636161744793,0.0116507679224014,0.0026088641470811,0.1205894302204251,0.1333409930463271,0.0161224583024159,0.0125685616210103
full,15,mid,MR,200.0,0.5041044191271067,0.0239281658648298,0.0098177769780159,0.0024158412412412,0.1128607743605971,0.1308043838247092,0.0193070274218916,0.0303004937432706
full,15,top,TL,200.0,0.7279140721261501,1.0924348224365523,0.002565175294876,0.0006421300877355,0.083381020873785,0.0546005756357547,0.0329070635139942,0.0619458067324012
full,15,top,TM,200.0,0.6154992878437042,0.503640234934799,0.0011354866623878,0.0008907750529164,0.0860850133001804,0.0625519493040962,0.0222757668048143,0.0458781875064596
full,15,top,TR,200.0,0.7576546777784824,1.247465266148878,-0.0009975744783878,0.000472250050659,0.0713932097889483,0.0495916369900036,0.0289381283987313,0.0510514089302159
full,16,bottom,BM,9.0,0.4748653537697262,-0.1006535793049205,-0.0034135414494408,0.0018395308376409,0.0948859378695488,0.1057932677555679,0.0159518919471237,0.0075105387303564
full,16,bottom,BR,97.0,0.5169660851512987,0.0732950140126861,0.0011911060392242,0.0012411248632161,0.1072732734772348,0.0819062136205831,0.0481564863056866,0.0247494486957481
full,16,mid,ML,17.0,0.5147879351587856,0.0593829897410682,0.0051734184517579,0.0023726296301125,0.1269597108749782,0.1250436653087714,0.0070169028990408,0.0097087254638181
full,16,mid,MM,200.0,0.5055455929040908,0.0261787410225029,0.0054814517498016,0.0026007789655423,0.1296364275366067,0.1325467682865073,0.0140974484290927,0.0127534956298768
full,16,mid,MR,200.0,0.5859984169900417,0.4041178084500652,0.0050634334236383,0.0023046028546795,0.1236381596699357,0.1311724043239262,0.0178141443734057,0.0179958172142505
full,16,top,TL,157.0,0.6296730054791566,0.5539307144314696,-0.0013263633676395,0.0009940326538951,0.0922171412996805,0.0699143654269747,0.0189811820579562,0.0411007796372672
full,16,top,TM,200.0,0.6628780081868172,0.7525809203751297,-0.000971979945898,0.0007851609525435,0.0901450693979859,0.0592943121701907,0.0208527662605047,0.0506264000874944
full,16,top,TR,200.0,0.7449560144543648,1.1605646113633628,-0.0038153725862503,0.0005214865344749,0.0703885400667786,0.0493838249424565,0.024355389624834,0.0444011737057007
full,17,bottom,BL,5.0,0.4312197625637054,-0.2801822228159648,0.0083787322044372,0.0016092271607213,0.0722264528274536,0.0976135234000957,0.0294470351189374,0.0548341050744056
full,17,bottom,BM,118.0,0.4333337068052615,-0.2703993142080678,0.0099276475987191,0.0016652078437794,0.0728455829923435,0.0997131204656355,0.0338929018037299,0.0607350914407584
